,Date,FCR-N Pris (EUR/MW),FCR-D upp Pris (EUR/MW),FCR-D ned Pris (EUR/MW),FFR Pris (EUR/MW),SPOT,"Fast Frequency Reserve FFR, price",aFRR Upp Pris (EUR/MW),aFRR Ned Pris (EUR/MW),mFRR Upp Pris (EUR/MW),mFRR Ned Pris (EUR/MW),mFRR Upp EAM Pris (EUR/MW),mFRR Ned EAM Pris (EUR/MW)
0,01/01/2024 00:00,46.32,10.85,78.87,48.83,29.56,48.82999,0,0,0,30,0,30
1,01/01/2024 01:00,45.87,10.57,84.17,48.84,28.46,48.84,0,0,0,48,0,48
2,01/01/2024 02:00,45.84,10.33,89.66,48.84,26.66,48.84,0,0,0,54,0,54
3,01/01/2024 03:00,45.84,10.46,84.32,48.84,24.48,48.84,0,0,0,53,0,53
4,01/01/2024 04:00,45.84,10.59,91.46,48.84,24.01,48.84,0,0,0,54,0,54
5,01/01/2024 05:00,45.83,10.96,90.02,48.84,21.23,48.84,0,0,0,56,0,56
6,01/01/2024 06:00,44.55,14.18,63.56,48.83,22.62,48.82999,0,0,0,58,0,58
7,01/01/2024 07:00,44.66,14.11,63,48.82,25.04,48.82,0,0,21,0,21,0
8,01/01/2024 08:00,44.57,14.34,49.23,48.82,26.24,48.82,0,0,21,0,21,0
9,01/01/2024 09:00,43.93,14.47,45.1,15,32.21,15,0,0,24,0,24,0
10,01/01/2024 10:00,43.89,14.4,43.08,11.83,41.34,11.83,0,0,24,0,24,0
11,01/01/2024 11:00,43.86,14.29,44.2,11.83,43.51,11.83,0,0,24,0,24,0
12,01/01/2024 12:00,44.08,14.9,42.64,11.98,43.02,11.98,0,0,24,0,24,0
13,01/01/2024 13:00,43.9,14.5,41.87,11.83,44.29,11.83,0,0,22,0,22,0
14,01/01/2024 14:00,43.92,14.93,41.52,11.9,46.24,11.9,0,0,22,0,22,0
15,01/01/2024 15:00,43.98,14.58,38.79,11.9,50.61,11.9,0,0,22,0,22,0
16,01/01/2024 16:00,44.1,14.65,40.28,0,59.47,0,0,0,22,0,22,0
17,01/01/2024 17:00,44.09,14.93,40.08,0,64.99,0,0,0,46,0,46,0
18,01/01/2024 18:00,44.1,15.3,40.93,11.9,61.74,11.9,0,0,42.5,0,42.5,0
19,01/01/2024 19:00,44.18,15.23,40.89,11.98,55.07,11.98,0,0,26,0,26,0
20,01/01/2024 20:00,44.06,14.98,41.44,15,48.01,15,0,0,26,0,26,0
21,01/01/2024 21:00,43.99,15.13,43.7,48.82,44.01,48.82,0,0,26,0,26,0
22,01/01/2024 22:00,43.97,15.21,46.5,48.83,45.2,48.82999,0,0,48.5,48,48.5,48
23,01/01/2024 23:00,44.12,15.53,49.88,48.84,38,48.84,0,0,0,48,0,48
24,02/01/2024 00:00,46.52,10.14,69.07,11.83,38,11.83,0,0,0,48,0,48
25,02/01/2024 01:00,46.19,10.27,66.5,99,33.56,99,0,0,0,40,0,40
26,02/01/2024 02:00,46.02,10.36,67.21,99,32.03,99,0,0,0,40,0,40
27,02/01/2024 03:00,46.03,10.36,67.07,99,32.29,99,0,0,0,40,0,40
28,02/01/2024 04:00,46.09,10.36,66.84,99,36.7,99,0,0,0,40,0,40
29,02/01/2024 05:00,46.47,10.42,64.08,11.98,41.72,11.98,0,0,0,40,0,40
30,02/01/2024 06:00,44.18,13.07,41.52,11.9,49.18,11.9,0,0,0,38,0,38
31,02/01/2024 07:00,44.08,13.15,40.32,0,58.75,0,0,0,30,0,30,0
32,02/01/2024 08:00,44.04,13.28,37.78,0,65.67,0,0,0,26,0,26,0
33,02/01/2024 09:00,43.98,13.29,37.73,0,66.11,0,0,0,45.5,0,45.5,0
34,02/01/2024 10:00,43.99,13.36,37.88,0,68.98,0,0,0,50,0,50,0
35,02/01/2024 11:00,43.82,13.34,38.18,0,73.54,0,0,0,50,0,50,0
36,02/01/2024 12:00,44.29,14.04,37.73,0,78.16,0,0,0,50,0,50,0
37,02/01/2024 13:00,44.26,14.28,36.74,0,78.87,0,0,0,53.5,0,53.5,0
38,02/01/2024 14:00,44.26,14.63,36.98,0,79.24,0,0,0,45.5,0,45.5,0
39,02/01/2024 15:00,44.27,14.32,37.91,0,79.96,0,0,0,45.5,0,45.5,0
40,02/01/2024 16:00,44.28,14.23,37.48,0,81.46,0,0,0,50,0,50,0
41,02/01/2024 17:00,44.28,14.42,37.5,0,80.92,0,0,0,50,0,50,0
42,02/01/2024 18:00,44.32,14.44,40.82,0,74.95,0,0,0,50,0,50,0
43,02/01/2024 19:00,45.16,14.45,40.85,0,63.18,0,0,0,50,0,50,0
44,02/01/2024 20:00,44.3,14.42,41.02,0,57.11,0,0,0,53.5,0,53.5,0
45,02/01/2024 21:00,44.45,14.46,41.28,0,48.04,0,0,0,50,0,50,0
46,02/01/2024 22:00,44.09,14.65,42.22,0,40.99,0,0,0,57,20,57,20
47,02/01/2024 23:00,44.16,15.09,43.35,12.85,38.35,12.85,0,0,0,30,0,30
48,03/01/2024 00:00,44.5,9.66,60.57,15,40.8,15,18.15,0,0,30,0,30
49,03/01/2024 01:00,44.39,9.47,60.68,99,39.21,99,0,0,0,33,0,33
50,03/01/2024 02:00,44.26,9.42,60.64,99,37.36,99,0,0,0,33,0,33
51,03/01/2024 03:00,44.2,9.59,60.74,99,36.17,99,0,0,0,33,0,33
52,03/01/2024 04:00,44.32,9.62,60.57,99,38.21,99,0,0,0,33,0,33
53,03/01/2024 05:00,44.37,9.88,59.24,99,42.58,99,26,0,0,33,0,33
54,03/01/2024 06:00,43.79,13.76,38.93,11.83,49.44,11.83,19.93,0,0,33,0,33
55,03/01/2024 07:00,43.49,13.82,37.89,0,53.53,0,21,0,30,0,30,0
56,03/01/2024 08:00,43.63,13.84,36.88,0,63.48,0,21.1,0,52,0,52,0
57,03/01/2024 09:00,43.65,13.83,37.77,0,64.99,0,16.82,0,59,0,59,0
58,03/01/2024 10:00,43.69,13.82,36.18,0,60.19,0,16,0,59,0,59,0
59,03/01/2024 11:00,43.65,13.93,37.37,0,59.96,0,16,0,67,0,67,0
60,03/01/2024 12:00,43.58,13.94,37.7,0,59.8,0,17.3,0,67,0,67,0
61,03/01/2024 13:00,43.31,14.08,38.44,0,58.86,0,20,0,26,0,26,0
62,03/01/2024 14:00,43.3,14.63,38.51,0,64.99,0,17.4,0,32,0,32,0
63,03/01/2024 15:00,43.31,14.51,38.06,0,68.83,0,16,0,32,0,32,0
64,03/01/2024 16:00,43.51,14.65,37.24,0,73.59,0,17,0,32,0,32,0
65,03/01/2024 17:00,43.93,14.64,37.14,0,82.28,0,19,0,32,0,32,0
66,03/01/2024 18:00,43.49,14.49,38.63,0,82.97,0,20,15,32,0,32,0
67,03/01/2024 19:00,43.96,14.48,38.61,0,79.03,0,18,20,32,0,32,0
68,03/01/2024 20:00,43.84,13.97,38.43,0,73.23,0,17,22,32,0,32,0
69,03/01/2024 21:00,43.87,14.6,39.05,0,67.41,0,16.55,31,26,0,26,0
70,03/01/2024 22:00,43.69,13.68,39.14,0,65,0,17.6,37,26,21,26,21
71,03/01/2024 23:00,43.61,14.45,40.51,0,58.12,0,17.5,43,0,20,0,20
72,04/01/2024 00:00,44.18,9.97,60.33,0,58.71,0,0,0,0,21,0,21
73,04/01/2024 01:00,44.13,10.26,61.13,0,53.6,0,0,0,0,25,0,25
74,04/01/2024 02:00,44.91,10.25,61.14,0,54.44,0,0,0,0,25,0,25
75,04/01/2024 03:00,44.92,10.22,61.32,0,55.18,0,0,0,0,25,0,25
76,04/01/2024 04:00,44.49,10.02,60.89,0,58.25,0,0,0,0,25,0,25
77,04/01/2024 05:00,44.16,9.86,59.27,0,59.15,0,0,0,0,25,0,25
78,04/01/2024 06:00,42.98,13.02,36.85,0,72.65,0,0,0,0,25,0,25
79,04/01/2024 07:00,43.22,13.4,36.56,0,85.02,0,0,0,35,0,35,0
80,04/01/2024 08:00,43.46,13.22,36.79,0,91.47,0,0,0,35,0,35,0
81,04/01/2024 09:00,43.03,13.25,36.62,0,94.2,0,0,0,35,0,35,0
82,04/01/2024 10:00,42.99,13.25,36.56,0,91.98,0,0,0,35,0,35,0
83,04/01/2024 11:00,43.11,13.4,37.11,0,90.4,0,0,0,35,0,35,0
84,04/01/2024 12:00,43.02,13.52,36.21,0,86.69,0,0,0,35,0,35,0
85,04/01/2024 13:00,43.13,13.7,36.46,0,85.96,0,0,0,38,0,38,0
86,04/01/2024 14:00,43.47,16.59,36.68,0,92.11,0,0,0,38,0,38,0
87,04/01/2024 15:00,43.06,18.15,35.48,0,98.62,0,0,0,38,0,38,0
88,04/01/2024 16:00,43.07,18.19,36.01,0,105.73,0,0,0,38,0,38,0
89,04/01/2024 17:00,44.53,21.55,35.92,0,133.23,0,0,0,38,0,38,0
90,04/01/2024 18:00,45.08,19.78,37.46,0,144.65,0,0,0,38,0,38,0
91,04/01/2024 19:00,45.05,20.14,37.42,0,125,0,0,0,38,0,38,0
92,04/01/2024 20:00,44.44,14.66,37.31,0,103.59,0,0,0,38,0,38,0
93,04/01/2024 21:00,44.19,14.73,37.51,0,100.01,0,0,0,38,0,38,0
94,04/01/2024 22:00,43.24,14.74,37.78,0,94.86,0,0,0,38,40,38,40
95,04/01/2024 23:00,43.4,14.26,38.49,0,88.83,0,0,0,0,23,0,23
96,05/01/2024 00:00,43.53,10.51,48.06,0,88.83,0,0,0,0,25,0,25
97,05/01/2024 01:00,42.62,9.98,47.12,0,83.09,0,0,0,0,30,0,30
98,05/01/2024 02:00,43.04,9.79,47.04,0,80,0,0,0,0,30,0,30
99,05/01/2024 03:00,43.14,9.62,47.06,0,80.17,0,0,0,0,30,0,30
100,05/01/2024 04:00,43.08,9.6,46.84,0,82.49,0,0,0,0,30,0,30
101,05/01/2024 05:00,42.87,22.9,47.32,0,88.14,0,0,0,0,30,0,30
102,05/01/2024 06:00,43.11,24.57,34.49,0,109.79,0,25,0,0,30.5,0,30.5
103,05/01/2024 07:00,43.04,50.89,32.51,0,165.01,0,25,0,31,0,31,0
104,05/01/2024 08:00,45.12,59.48,31.96,0,299.01,0,34,0,39.5,0,39.5,0
105,05/01/2024 09:00,45.54,61.29,31.82,0,249.12,0,36,0,39.5,0,39.5,0
106,05/01/2024 10:00,45.13,66.67,32.01,0,255.86,0,36,0,42.5,0,42.5,0
107,05/01/2024 11:00,43.02,69.52,31.86,0,211.11,0,30,0,42,0,42,0
108,05/01/2024 12:00,42.83,52.69,32.13,0,203.28,0,0,0,42,0,42,0
109,05/01/2024 13:00,42.77,53.09,32.29,0,196.98,0,0,0,42,0,42,0
110,05/01/2024 14:00,42.81,65.23,32.18,0,197.86,0,0,0,42,0,42,0
111,05/01/2024 15:00,43.2,72.26,32.12,0,299.94,0,0,0,42,0,42,0
112,05/01/2024 16:00,43.17,95.29,32.01,0,449.64,0,0,0,42,0,42,0
113,05/01/2024 17:00,43.3,95.34,31.99,0,526.25,0,0,0,42,0,42,0
114,05/01/2024 18:00,43.15,106.63,33.09,0,349.95,0,0,0,42,0,42,0
115,05/01/2024 19:00,43.51,94.18,33.22,0,181.91,0,0,0,42,0,42,0
116,05/01/2024 20:00,43.53,85.3,33.43,0,149.6,0,0,0,40,0,40,0
117,05/01/2024 21:00,43.23,38.03,33.39,0,112.82,0,0,0,29,0,29,0
118,05/01/2024 22:00,43.21,14.46,34.57,0,100.1,0,0,0,45,38,45,38
119,05/01/2024 23:00,43.31,14.03,34.45,0,92.87,0,0,0,0,38,0,38
120,06/01/2024 00:00,42.75,10.1,38.29,0,84.88,0,0,0,0,38,0,38
121,06/01/2024 01:00,43.34,10.14,38.56,0,83.2,0,0,0,0,29.42,0,29.42
122,06/01/2024 02:00,43.38,10.11,38.7,0,82.03,0,0,0,0,30.54,0,30.54
123,06/01/2024 03:00,43.39,10.2,38.99,0,82.18,0,0,0,0,29.9,0,29.9
124,06/01/2024 04:00,43.5,10.26,38.56,0,82.53,0,0,0,0,30.56,0,30.56
125,06/01/2024 05:00,43.58,10.36,37.93,0,84.13,0,0,0,0,30.08,0,30.08
126,06/01/2024 06:00,43.21,13.95,30.79,0,84.48,0,33,0,0,29.5,0,29.5
127,06/01/2024 07:00,42.88,14.18,30.52,0,87.43,0,35.5,0,0,29,0,29
128,06/01/2024 08:00,43.11,14.45,31.57,0,90.87,0,41,0,0,29,0,29
129,06/01/2024 09:00,43.06,16.39,31.59,0,94.98,0,42.5,0,0,29,0,29
130,06/01/2024 10:00,42.99,17.66,31.53,0,100.41,0,57,0,0,33,0,33
131,06/01/2024 11:00,42.89,16.11,31.47,0,103.65,0,57,0,0,33,0,33
132,06/01/2024 12:00,43.14,15.36,30.32,0,102.33,0,55,0,0,38,0,38
133,06/01/2024 13:00,43.27,15.76,30.42,0,97.75,0,55,0,0,31.96,0,31.96
134,06/01/2024 14:00,43.3,24.55,30.39,0,95.51,0,55,0,0,31.96,0,31.96
135,06/01/2024 15:00,43.32,31.51,30.32,0,98.5,0,55,0,0,32.09,0,32.09
136,06/01/2024 16:00,43.42,45.68,30.23,0,110,0,55,0,0,0,0,0
137,06/01/2024 17:00,43.45,47.73,30.15,0,118.27,0,55,0,0,0,0,0
138,06/01/2024 18:00,43.59,35.15,30.86,0,106.94,0,95,0,0,0,0,0
139,06/01/2024 19:00,43.53,31.01,30.88,0,102.27,0,90,0,67,0,67,0
140,06/01/2024 20:00,43.63,19.27,31.05,0,94.98,0,35,0,42,0,42,0
141,06/01/2024 21:00,43.41,17.6,32,0,90.63,0,26,0,0,33,0,33
142,06/01/2024 22:00,43.21,14.89,31.49,0,89.34,0,18,0,0,29,0,29
143,06/01/2024 23:00,43.51,14.18,31.62,0,82.8,0,18.5,0,0,29,0,29
144,07/01/2024 00:00,41.94,10.84,31.82,0,86.15,0,0,0,0,29,0,29
145,07/01/2024 01:00,42.05,11.03,31.94,11.6,82.46,11.6,0,0,0,25.91,0,25.91
146,07/01/2024 02:00,42.19,10.96,32.45,11.83,79.22,11.83,0,0,0,25.91,0,25.91
147,07/01/2024 03:00,42.19,11.09,33.11,11.9,77.53,11.9,0,0,0,24.09,0,24.09
148,07/01/2024 04:00,42.22,11.05,32.27,12.16,76.89,12.16,0,0,0,24.09,0,24.09
149,07/01/2024 05:00,42.26,11.16,32.96,11.6,77.42,11.6,0,0,0,25,0,25
150,07/01/2024 06:00,42.19,13.49,28.42,0,78.45,0,0,0,0,25,0,25
151,07/01/2024 07:00,42.37,13.76,28.41,0,80.37,0,0,0,0,25,0,25
152,07/01/2024 08:00,42.33,13.73,28.39,0,84.21,0,0,0,0,25,0,25
153,07/01/2024 09:00,42.17,14.32,28.49,0,87.57,0,0,0,0,25,0,25
154,07/01/2024 10:00,42.14,14.29,28.6,0,89.75,0,0,0,0,25,0,25
155,07/01/2024 11:00,42.07,14.27,28.09,0,91.99,0,0,0,0,25,0,25
156,07/01/2024 12:00,41.45,14.88,28.71,0,91.5,0,0,0,0,25,0,25
157,07/01/2024 13:00,41.8,14.95,29.04,0,87.52,0,0,0,0,25.13,0,25.13
158,07/01/2024 14:00,41.57,15.78,28.95,0,87.23,0,0,0,0,25.13,0,25.13
159,07/01/2024 15:00,41.79,15.47,28.86,0,90.64,0,0,0,0,24.74,0,24.74
160,07/01/2024 16:00,41.5,15.26,28.85,0,96.21,0,0,0,0,0,0,0
161,07/01/2024 17:00,42.1,15.02,31.01,0,104.27,0,0,0,0,0,0,0
162,07/01/2024 18:00,42.65,14.7,31.39,0,106.09,0,0,0,0,0,0,0
163,07/01/2024 19:00,42.37,14.4,30.56,0,103.55,0,0,0,42.5,0,42.5,0
164,07/01/2024 20:00,42.51,14.02,30.57,0,100.5,0,0,0,33,0,33,0
165,07/01/2024 21:00,42.69,15.23,30.09,0,93.31,0,0,0,0,26,0,26
166,07/01/2024 22:00,42.55,14.26,28.62,0,91.17,0,0,0,0,26,0,26
167,07/01/2024 23:00,42.37,13.41,28.95,0,83.86,0,0,0,0,28,0,28
168,08/01/2024 00:00,41.19,10.47,32.04,12.89,87.02,12.89,0,0,0,27,0,27
169,08/01/2024 01:00,41.14,10.44,30.74,99,84.32,99,0,0,0,21.78,0,21.78
170,08/01/2024 02:00,41.22,10.37,31.07,99,81.82,99,0,0,0,22.03,0,22.03
171,08/01/2024 03:00,41.62,10.4,31.45,99,79.11,99,0,0,0,22.03,0,22.03
172,08/01/2024 04:00,41.29,10.38,30.12,99,78.48,99,0,0,0,21.9,0,21.9
173,08/01/2024 05:00,41.26,10.5,31.22,99,82.1,99,0,0,0,21.9,0,21.9
174,08/01/2024 06:00,41.14,13.58,26.86,11.9,94.3,11.9,27,0,0,22.34,0,22.34
175,08/01/2024 07:00,40.87,13.88,25.75,0,111.22,0,44,0,31,0,31,0
176,08/01/2024 08:00,41.02,14.01,25.76,0,121.11,0,55,0,31,0,31,0
177,08/01/2024 09:00,41.17,13.98,26.84,0,120.73,0,38,0,30,0,30,0
178,08/01/2024 10:00,41.19,14.02,25.83,0,113.9,0,37,0,30,0,30,0
179,08/01/2024 11:00,40.72,13.94,26.35,0,105.54,0,30,0,58,0,58,0
180,08/01/2024 12:00,40.66,14.51,27.1,0,97.84,0,35,0,58,0,58,0
181,08/01/2024 13:00,40.37,14.59,27.23,0,94.88,0,35,0,58,0,58,0
182,08/01/2024 14:00,40.38,15.15,26.9,0,102.46,0,30,0,55,0,55,0
183,08/01/2024 15:00,40.54,14.55,27.54,0,110.64,0,30,0,55,0,55,0
184,08/01/2024 16:00,40.62,13.92,28.57,0,128,0,35,0,52,0,52,0
185,08/01/2024 17:00,40.67,13.98,29.14,0,132.31,0,50,0,52,0,52,0
186,08/01/2024 18:00,40.9,13.66,29.26,0,130.01,0,60,0,52,0,52,0
187,08/01/2024 19:00,41.2,13.67,28.74,0,122.12,0,50,0,52,0,52,0
188,08/01/2024 20:00,41.63,13.58,28.83,0,114.21,0,35,0,49,0,49,0
189,08/01/2024 21:00,41.54,14.27,29.09,0,102.83,0,24,0,46,0,46,0
190,08/01/2024 22:00,41.54,13.91,29.75,0,99.98,0,20.85,0,46,24,46,24
191,08/01/2024 23:00,41.47,13.45,30.1,11.83,91.49,11.83,19,0,0,21,0,21
192,09/01/2024 00:00,43.37,10.22,29.48,0,87.82,0,0,0,0,21,0,21
193,09/01/2024 01:00,44.24,10.05,29.3,0,86.69,0,0,0,0,19,0,19
194,09/01/2024 02:00,44.6,10.02,29.4,0,85,0,0,0,0,22,0,22
195,09/01/2024 03:00,44.74,10.01,29.66,0,84.13,0,0,0,0,22,0,22
196,09/01/2024 04:00,44.33,10.02,29.43,0,85.41,0,0,0,0,19,0,19
197,09/01/2024 05:00,45.7,9.97,29.34,0,89.28,0,27.1,0,0,19,0,19
198,09/01/2024 06:00,41.32,12.79,27.78,0,108.51,0,33.3,0,0,19,0,19
199,09/01/2024 07:00,41.34,12.57,28.12,0,123.22,0,40.6,0,24,0,24,0
200,09/01/2024 08:00,41.17,12.92,27.29,0,133.25,0,46,0,24,0,24,0
201,09/01/2024 09:00,41.15,12.97,27.44,0,120.89,0,40,0,24,0,24,0
202,09/01/2024 10:00,41.01,12.89,27.53,0,112.78,0,30,0,24,0,24,0
203,09/01/2024 11:00,40.89,12.75,27.17,0,105.4,0,35,0,24,0,24,0
204,09/01/2024 12:00,40.31,13.98,27.36,0,100,0,33,0,32,0,32,0
205,09/01/2024 13:00,40.28,14.5,27.18,0,100.6,0,30,0,29,0,29,0
206,09/01/2024 14:00,40.45,14.17,27.23,0,112.36,0,33,0,29,0,29,0
207,09/01/2024 15:00,40.71,14.48,27.12,0,121.09,0,35,0,29,0,29,0
208,09/01/2024 16:00,40.83,13.44,28,0,130.99,0,45,0,29,0,29,0
209,09/01/2024 17:00,41.42,13.75,28.1,0,137.95,0,46,0,29,0,29,0
210,09/01/2024 18:00,41.48,13.62,27.99,0,137.72,0,48,0,29,0,29,0
211,09/01/2024 19:00,41.57,13.28,28.06,0,130.33,0,45,0,29,0,29,0
212,09/01/2024 20:00,41.33,13.16,28.09,0,117.36,0,32.79,0,29,0,29,0
213,09/01/2024 21:00,41.31,13.54,28.4,0,109,0,28.99,0,25,0,25,0
214,09/01/2024 22:00,42.04,13.32,28.21,0,103.63,0,25.19,0,25,20,25,20
215,09/01/2024 23:00,43.79,13.46,28.04,0,94.76,0,24,0,0,20,0,20
216,10/01/2024 00:00,40.26,10.02,30.01,0,87.15,0,0,0,0,20,0,20
217,10/01/2024 01:00,41.26,9.42,30.27,0,84.67,0,0,0,0,29,0,29
218,10/01/2024 02:00,41.44,9.49,30.14,0,84.64,0,0,0,0,33,0,33
219,10/01/2024 03:00,43.02,9.41,30.21,0,84.02,0,0,0,0,33,0,33
220,10/01/2024 04:00,42.44,9.54,30.32,0,84.23,0,0,0,0,33,0,33
221,10/01/2024 05:00,42.05,9.44,30.04,0,89.05,0,0,0,0,33,0,33
222,10/01/2024 06:00,39.52,12.47,28.87,0,108.88,0,0,0,0,33,0,33
223,10/01/2024 07:00,39.5,12.5,28.45,0,129.4,0,0,0,24,0,24,0
224,10/01/2024 08:00,39.91,12.45,28.33,0,143,0,0,0,24,0,24,0
225,10/01/2024 09:00,39.88,12.47,28.13,0,130.39,0,0,0,32,0,32,0
226,10/01/2024 10:00,39.73,12.37,27.79,0,121.47,0,0,0,32,0,32,0
227,10/01/2024 11:00,39.34,12.53,27.56,0,109.13,0,0,0,32,0,32,0
228,10/01/2024 12:00,39.21,12.45,27.72,0,102.21,0,0,0,32,0,32,0
229,10/01/2024 13:00,39,12.39,28.28,0,108.2,0,0,0,25,0,25,0
230,10/01/2024 14:00,43.68,14.74,29.07,0,115.68,0,0,0,25,0,25,0
231,10/01/2024 15:00,45.73,14.94,30.44,0,123.8,0,0,0,24,0,24,0
232,10/01/2024 16:00,45.16,13.98,31.52,0,134.64,0,0,0,24,0,24,0
233,10/01/2024 17:00,52.79,15.92,32.03,0,143.79,0,0,0,24,0,24,0
234,10/01/2024 18:00,44.33,15.83,32.19,0,136.64,0,0,0,24,0,24,0
235,10/01/2024 19:00,44.3,15.7,32.77,0,128.98,0,0,0,101,0,101,0
236,10/01/2024 20:00,47.83,12.15,32.91,0,117.12,0,0,0,101,0,101,0
237,10/01/2024 21:00,48.39,12.35,33.18,0,107.12,0,0,0,101,0,101,0
238,10/01/2024 22:00,49.76,11.67,33.76,0,83.1,0,0,0,101,40,101,40
239,10/01/2024 23:00,48.93,11.57,34.51,0,30.07,0,0,0,0,34.5,0,34.5
240,11/01/2024 00:00,48.2,11.04,33.93,0,83.1,0,0,43.9,0,33,0,33
241,11/01/2024 01:00,48.28,11.15,33.21,0,21.85,0,0,0,0,38,0,38
242,11/01/2024 02:00,48.13,11.13,33.4,11.6,24.39,11.6,0,0,0,52,0,52
243,11/01/2024 03:00,46.97,11.49,33.49,11.9,27.01,11.9,0,0,0,52,0,52
244,11/01/2024 04:00,46.8,11.55,33.45,11.6,28.77,11.6,0,0,0,38,0,38
245,11/01/2024 05:00,47.73,12.84,32.96,0,34.36,0,0,0,0,38,0,38
246,11/01/2024 06:00,49.78,15.02,31.45,0,99.62,0,0,0,0,38,0,38
247,11/01/2024 07:00,47.52,17.74,28.94,0,114.06,0,0,0,21,0,21,0
248,11/01/2024 08:00,44.84,15.1,28.28,0,137.62,0,0,0,21,0,21,0
249,11/01/2024 09:00,43.59,15.04,26.86,0,126.06,0,0,0,21,0,21,0
250,11/01/2024 10:00,41.2,13.95,26.69,0,110.92,0,0,0,22,0,22,0
251,11/01/2024 11:00,40.99,14.82,26.13,0,103.92,0,0,0,22,0,22,0
252,11/01/2024 12:00,42.89,19.16,26.4,0,97,0,0,0,26,0,26,0
253,11/01/2024 13:00,43.33,20.08,26.56,0,99,0,0,0,24,0,24,0
254,11/01/2024 14:00,43,30.18,26.54,0,105.98,0,0,0,26,0,26,0
255,11/01/2024 15:00,42.83,28.24,26.97,0,117.96,0,0,0,24,0,24,0
256,11/01/2024 16:00,41.93,31.47,26.74,0,137.35,0,0,0,24,0,24,0
257,11/01/2024 17:00,41.12,30.47,27.71,0,150.09,0,0,0,24,0,24,0
258,11/01/2024 18:00,41.18,30.08,28.61,0,136.69,0,0,22.5,24,0,24,0
259,11/01/2024 19:00,41.07,22.16,28.41,0,132.31,0,0,22,24,0,24,0
260,11/01/2024 20:00,40.89,15.33,29.17,0,118.95,0,0,22,26,0,26,0
261,11/01/2024 21:00,40.96,13.51,31.88,0,107.19,0,0,31,22,0,22,0
262,11/01/2024 22:00,40.38,12.87,33.69,0,100,0,0,31,22,29,22,29
263,11/01/2024 23:00,40.3,12.8,34.14,0,96.97,0,0,46.7,0,30,0,30
264,12/01/2024 00:00,39.73,9.76,34,0,90.94,0,0,0,0,33,0,33
265,12/01/2024 01:00,39.71,9.49,34.1,11.6,86.11,11.6,0,0,0,35.83,0,35.83
266,12/01/2024 02:00,39.72,9.47,34.42,11.9,83.17,11.9,0,0,0,37.58,0,37.58
267,12/01/2024 03:00,41.51,9.46,34.26,11.83,82.6,11.83,0,0,0,37.58,0,37.58
268,12/01/2024 04:00,41.53,9.47,34.13,11.93,82.32,11.93,0,0,0,40,0,40
269,12/01/2024 05:00,40.92,9.48,33.89,11.6,83.27,11.6,0,0,0,29,0,29
270,12/01/2024 06:00,39.74,11.83,31.99,0,89.9,0,0,37.5,0,29,0,29
271,12/01/2024 07:00,40.09,12.1,30.48,0,118.16,0,0,28,20,0,20,0
272,12/01/2024 08:00,40.17,12.14,30.42,0,140.74,0,0,26,20,0,20,0
273,12/01/2024 09:00,40.31,12.34,29.14,0,134.96,0,0,13.5,20,0,20,0
274,12/01/2024 10:00,40.02,12.32,29.64,0,122.01,0,0,13.5,20,0,20,0
275,12/01/2024 11:00,40.17,12.5,28.66,0,111.98,0,0,13.5,24,0,24,0
276,12/01/2024 12:00,40.23,14.54,28.06,0,104.42,0,0,0,24,0,24,0
277,12/01/2024 13:00,39.81,16.43,28.23,0,100.61,0,0,0,29,0,29,0
278,12/01/2024 14:00,39.94,17.05,28.38,0,102.03,0,0,0,29,0,29,0
279,12/01/2024 15:00,40.26,16.61,28.39,0,107.36,0,0,0,29,0,29,0
280,12/01/2024 16:00,40.71,17.94,28.38,0,117.12,0,0,0,29,0,29,0
281,12/01/2024 17:00,40.86,16.88,28.15,0,127.5,0,0,0,29,0,29,0
282,12/01/2024 18:00,40.58,16.06,30.94,0,126,0,0,0,27.5,0,27.5,0
283,12/01/2024 19:00,40.83,15.04,30.05,0,119.47,0,0,0,24,0,24,0
284,12/01/2024 20:00,40.46,13.53,30.3,0,106.18,0,0,0,21,0,21,0
285,12/01/2024 21:00,40.09,12.16,30.85,0,98.48,0,0,0,21,0,21,0
286,12/01/2024 22:00,40.68,11.87,33.77,0,93.37,0,0,0,21,28,21,28
287,12/01/2024 23:00,40.53,11.81,33.27,0,85.15,0,0,0,0,33,0,33
288,13/01/2024 00:00,42.74,10.13,33.07,0,75.64,0,0,0,0,33,0,33
289,13/01/2024 01:00,42.75,9.96,33.36,11.89,74.85,11.89,0,0,0,23,0,23
290,13/01/2024 02:00,42.97,10.02,33.43,48.82,73.65,48.82,0,0,0,27,0,27
291,13/01/2024 03:00,42.75,9.92,31.87,48.82,71.37,48.82,0,0,0,23,0,23
292,13/01/2024 04:00,42.57,9.95,31.72,48.82,72.24,48.82,0,0,0,23,0,23
293,13/01/2024 05:00,42.38,10.08,31.52,11.93,55.55,11.93,0,0,0,23,0,23
294,13/01/2024 06:00,41.64,12.31,29.43,0,45.62,0,0,0,0,22,0,22
295,13/01/2024 07:00,41.15,12.72,29.43,0,51.2,0,0,0,0,22,0,22
296,13/01/2024 08:00,42.08,12.71,28.16,0,57.93,0,0,0,0,22,0,22
297,13/01/2024 09:00,41.22,13.25,26.78,0,73.31,0,0,0,0,22,0,22
